mort2yr0,mort2yr1,woundRecur0,woundRecur1,C_L,Delta
0.2,0.15,0.25,0.25,0.15,17.203004287958834
0.25,0.15,0.25,0.25,0.15,31.720299605930848
0.30000000000000004,0.15,0.25,0.25,0.15,54.23257493255454
0.35,0.15,0.25,0.25,0.15,68.67280818070202
0.4,0.15,0.25,0.25,0.15,91.95220989105741
0.45,0.15,0.25,0.25,0.15,109.10389752276535
0.15,0.2,0.25,0.25,0.15,-17.75039320557545
0.25,0.2,0.25,0.25,0.15,16.48488980703536
0.30000000000000004,0.2,0.25,0.25,0.15,35.38040144496779
0.35,0.2,0.25,0.25,0.15,53.94642287336768
0.4,0.2,0.25,0.25,0.15,77.23623952815888
0.45,0.2,0.25,0.25,0.15,94.55430084305254
0.15,0.25,0.25,0.25,0.15,-35.83832009230417
0.2,0.25,0.25,0.25,0.15,-15.250953690928611
0.30000000000000004,0.25,0.25,0.25,0.15,19.920215217404632
0.35,0.25,0.25,0.25,0.15,39.26693214542712
0.4,0.25,0.25,0.25,0.15,57.16880129514857
0.45,0.25,0.25,0.25,0.15,73.79310371728701
0.15,0.30000000000000004,0.25,0.25,0.15,-55.33550243699523
0.2,0.30000000000000004,0.25,0.25,0.15,-34.306697158542875
0.25,0.30000000000000004,0.25,0.25,0.15,-16.611079169793015
0.35,0.30000000000000004,0.25,0.25,0.15,19.78604637713738
0.4,0.30000000000000004,0.25,0.25,0.15,41.90163798407934
0.45,0.30000000000000004,0.25,0.25,0.15,55.522104262781625
0.15,0.35,0.25,0.25,0.15,-72.38884487044004
0.2,0.35,0.25,0.25,0.15,-52.91941774698711
0.25,0.35,0.25,0.25,0.15,-36.63515169796972
0.30000000000000004,0.35,0.25,0.25,0.15,-18.56312705868345
0.4,0.35,0.25,0.25,0.15,17.156827971225596
0.45,0.35,0.25,0.25,0.15,37.432949649435614
0.15,0.4,0.25,0.25,0.15,-89.54221918643492
0.2,0.4,0.25,0.25,0.15,-69.96418727153178
0.25,0.4,0.25,0.25,0.15,-57.62072066971234
0.30000000000000004,0.4,0.25,0.25,0.15,-35.836104590180355
0.35,0.4,0.25,0.25,0.15,-16.361228229918197
0.45,0.4,0.25,0.25,0.15,15.143626552723958
0.15,0.45,0.25,0.25,0.15,-110.30524143060035
0.2,0.45,0.25,0.25,0.15,-92.93837578349792
0.25,0.45,0.25,0.25,0.15,-77.41521992861493
0.30000000000000004,0.45,0.25,0.25,0.15,-57.35462877923129
0.35,0.45,0.25,0.25,0.15,-37.92329219887563
0.4,0.45,0.25,0.25,0.15,-19.360916205587728
0.15,0.15,0.3,0.25,0.15,5.475894812244633
0.2,0.15,0.3,0.25,0.15,20.83507368410278
0.25,0.15,0.3,0.25,0.15,40.745547431799196
0.30000000000000004,0.15,0.3,0.25,0.15,61.336410736335836
0.35,0.15,0.3,0.25,0.15,77.93405695269615
0.4,0.15,0.3,0.25,0.15,98.60265184654253
0.45,0.15,0.3,0.25,0.15,119.31083884513856
0.15,0.2,0.3,0.25,0.15,-10.510298465103006
0.2,0.2,0.3,0.25,0.15,6.354161174970841
0.25,0.2,0.3,0.25,0.15,22.360267876462103
0.30000000000000004,0.2,0.3,0.25,0.15,45.13246627736811
0.35,0.2,0.3,0.25,0.15,62.17112366649428
0.4,0.2,0.3,0.25,0.15,78.05639015271464
0.45,0.2,0.3,0.25,0.15,99.48860129939192
0.15,0.25,0.3,0.25,0.15,-31.857606227568
0.2,0.25,0.3,0.25,0.15,-8.41059779900229
0.25,0.25,0.3,0.25,0.15,5.344150367060422
0.30000000000000004,0.25,0.3,0.25,0.15,27.70467487686045
0.35,0.25,0.3,0.25,0.15,42.04020327822428
0.4,0.25,0.3,0.25,0.15,63.15146078975397
0.45,0.25,0.3,0.25,0.15,79.41426074329632
0.15,0.30000000000000004,0.3,0.25,0.15,-45.37533762422561
0.2,0.30000000000000004,0.3,0.25,0.15,-31.212727317536974
0.25,0.30000000000000004,0.3,0.25,0.15,-12.906846130253598
0.30000000000000004,0.30000000000000004,0.3,0.25,0.15,4.622117976023219
0.35,0.30000000000000004,0.3,0.25,0.15,22.07603234800905
0.4,0.30000000000000004,0.3,0.25,0.15,41.65042013337279
0.45,0.30000000000000004,0.3,0.25,0.15,62.75001120869916
0.15,0.35,0.3,0.25,0.15,-66.54334960112391
0.2,0.35,0.3,0.25,0.15,-48.02207969844807
0.25,0.35,0.3,0.25,0.15,-29.471087862611853
0.30000000000000004,0.35,0.3,0.25,0.15,-15.215991084925292
0.35,0.35,0.3,0.25,0.15,7.600385109171157
0.4,0.35,0.3,0.25,0.15,23.58752110358222
0.45,0.35,0.3,0.25,0.15,44.63428194867015
0.15,0.4,0.3,0.25,0.15,-85.12541402801861
0.2,0.4,0.3,0.25,0.15,-67.10337413467369
0.25,0.4,0.3,0.25,0.15,-50.533222086170724
0.30000000000000004,0.4,0.3,0.25,0.15,-32.2802892566296
0.35,0.4,0.3,0.25,0.15,-16.027791646278843
0.4,0.4,0.3,0.25,0.15,3.913288098541784
0.45,0.4,0.3,0.25,0.15,24.23731247678745
0.15,0.45,0.3,0.25,0.15,-107.69411481110251
0.2,0.45,0.3,0.25,0.15,-90.41491884170102
0.25,0.45,0.3,0.25,0.15,-72.6124302885197
0.30000000000000004,0.45,0.3,0.25,0.15,-52.98589555410376
0.35,0.45,0.3,0.25,0.15,-33.70755796352262
0.4,0.45,0.3,0.25,0.15,-13.646055673523449
0.45,0.45,0.3,0.25,0.15,6.319512067850951
0.15,0.15,0.35,0.25,0.15,11.068475496142582
0.2,0.15,0.35,0.25,0.15,30.16167807120229
0.25,0.15,0.35,0.25,0.15,47.818074517970274
0.30000000000000004,0.15,0.35,0.25,0.15,64.76549033928427
0.35,0.15,0.35,0.25,0.15,83.43529109037945
0.4,0.15,0.35,0.25,0.15,101.05312853926966
0.45,0.15,0.35,0.25,0.15,121.66549895264245
0.15,0.2,0.35,0.25,0.15,-6.571717280500138
0.2,0.2,0.35,0.25,0.15,14.564413759033073
0.25,0.2,0.35,0.25,0.15,29.76871310433421
0.30000000000000004,0.2,0.35,0.25,0.15,47.35262065028013
0.35,0.2,0.35,0.25,0.15,67.15812423645161
0.4,0.2,0.35,0.25,0.15,86.80250047249388
0.45,0.2,0.35,0.25,0.15,107.16638487079013
0.15,0.25,0.35,0.25,0.15,-23.407702536210365
0.2,0.25,0.35,0.25,0.15,-7.736207549607457
0.25,0.25,0.35,0.25,0.15,6.197072932198637
0.30000000000000004,0.25,0.35,0.25,0.15,29.936127405626678
0.35,0.25,0.35,0.25,0.15,47.099455863700825
0.4,0.25,0.35,0.25,0.15,68.20835588288554
0.45,0.25,0.35,0.25,0.15,85.76919091864448
0.15,0.30000000000000004,0.35,0.25,0.15,-44.134336229779194
0.2,0.30000000000000004,0.35,0.25,0.15,-24.289396736861136
0.25,0.30000000000000004,0.35,0.25,0.15,-8.486598557365312
0.30000000000000004,0.30000000000000004,0.35,0.25,0.15,11.8298467366036
0.35,0.30000000000000004,0.35,0.25,0.15,29.91107057897915
0.4,0.30000000000000004,0.35,0.25,0.15,49.007163945757895
0.45,0.30000000000000004,0.35,0.25,0.15,67.38608149816662
0.15,0.35,0.35,0.25,0.15,-63.36756573321486
0.2,0.35,0.35,0.25,0.15,-43.725413307569454
0.25,0.35,0.35,0.25,0.15,-27.267812322712587
0.30000000000000004,0.35,0.35,0.25,0.15,-10.64573599439882
0.35,0.35,0.35,0.25,0.15,9.670120115719271
0.4,0.35,0.35,0.25,0.15,29.17069436858702
0.45,0.35,0.35,0.25,0.15,48.27962200623631
0.15,0.4,0.35,0.25,0.15,-78.18470963721973
0.2,0.4,0.35,0.25,0.15,-61.53831981869672
0.25,0.4,0.35,0.25,0.15,-46.91272188245085
0.30000000000000004,0.4,0.35,0.25,0.15,-28.87531895347223
0.35,0.4,0.35,0.25,0.15,-9.040676942746131
0.4,0.4,0.35,0.25,0.15,8.616423234702324
0.45,0.4,0.35,0.25,0.15,29.51484895601584
0.15,0.45,0.35,0.25,0.15,-100.84954737141948
0.2,0.45,0.35,0.25,0.15,-85.28619120450037
0.25,0.45,0.35,0.25,0.15,-66.06395039724532
0.30000000000000004,0.45,0.35,0.25,0.15,-48.39092782754949
0.35,0.45,0.35,0.25,0.15,-26.361637952529065
0.4,0.45,0.35,0.25,0.15,-11.36273514757994
0.45,0.45,0.35,0.25,0.15,8.652404223112
0.15,0.15,0.4,0.25,0.15,15.979182782941393
0.2,0.15,0.4,0.25,0.15,36.88426466501028
0.25,0.15,0.4,0.25,0.15,51.76816760639417
0.30000000000000004,0.15,0.4,0.25,0.15,70.84643821774824
0.35,0.15,0.4,0.25,0.15,87.20014691247025
0.4,0.15,0.4,0.25,0.15,107.20244473722187
0.45,0.15,0.4,0.25,0.15,125.11418908213602
0.15,0.2,0.4,0.25,0.15,-2.08676246051067
0.2,0.2,0.4,0.25,0.15,19.238526618233607
0.25,0.2,0.4,0.25,0.15,37.84163214797144
0.30000000000000004,0.2,0.4,0.25,0.15,54.41979258874426
0.35,0.2,0.4,0.25,0.15,68.84288212627416
0.4,0.2,0.4,0.25,0.15,88.42779648436425
0.45,0.2,0.4,0.25,0.15,108.36952207530118
0.15,0.25,0.4,0.25,0.15,-18.950305747940718
0.2,0.25,0.4,0.25,0.15,1.3901225667749486
0.25,0.25,0.4,0.25,0.15,13.906043727362317
0.30000000000000004,0.25,0.4,0.25,0.15,34.87974800224026
0.35,0.25,0.4,0.25,0.15,52.88562740061633
0.4,0.25,0.4,0.25,0.15,72.25700196631925
